PublicationDate,countryName,reportingYear,EPRTR_SectorCode,EPRTR_SectorName,Pollutant,Releases
2025/12/15,France,2020,4,Chemical industry,Zinc and compounds (as Zn),3062
2025/12/15,Finland,2007,2,Production and processing of metals,Fluorides (as total F),18500
2025/12/15,Bulgaria,2014,8,Animal and vegetable products from the food and beverage sector,Zinc and compounds (as Zn),109
2025/12/15,Italy,2011,4,Chemical industry,Phenols (as total C),15602.7
2025/12/15,Norway,2015,4,Chemical industry,Vinyl chloride,101
2025/12/15,United Kingdom,2018,1,Energy sector,Ethyl benzene,104120
2025/12/15,Spain,2013,7,Intensive livestock production and aquaculture,Total phosphorus,241500
2025/12/15,Italy,2008,5,Waste and wastewater management,Atrazine,98.05
2025/12/15,United Kingdom,2007,5,Waste and wastewater management,Nickel and compounds (as Ni),34102.90000000001
2025/12/15,France,2013,5,Waste and wastewater management,Vinyl chloride,113.3
2025/12/15,Czechia,2009,2,Production and processing of metals,Zinc and compounds (as Zn),5207
2025/12/15,United Kingdom,2013,5,Waste and wastewater management,Trichlorobenzenes (TCB),16.3
2025/12/15,France,2015,4,Chemical industry,Nickel and compounds (as Ni),1355.6
2025/12/15,Spain,2008,2,Production and processing of metals,Arsenic and compounds (as As),627.66
2025/12/15,Austria,2013,5,Waste and wastewater management,Nonylphenol and Nonylphenol ethoxylates,156.95
2025/12/15,Finland,2007,6,Paper and wood production and processing,Chlorides (as total Cl),52980000
2025/12/15,France,2020,4,Chemical industry,Chlorides (as total Cl),1228200000
2025/12/15,United Kingdom,2008,6,Paper and wood production and processing,Endrin,1.07
2025/12/15,United Kingdom,2014,1,Energy sector,"Benzo(g,h,i)perylene",36.86
2025/12/15,United Kingdom,2015,2,Production and processing of metals,Mercury and compounds (as Hg),9.52
2025/12/15,Netherlands,2013,4,Chemical industry,Arsenic and compounds (as As),76.80000000000001
2025/12/15,Switzerland,2018,4,Chemical industry,Nickel and compounds (as Ni),171.35
2025/12/15,France,2012,9,Other activities,Nickel and compounds (as Ni),205.3
