PublicationDate,countryName,reportingYear,EPRTR_SectorCode,EPRTR_SectorName,Pollutant,Releases
2025/12/15,Netherlands,2014,6,Paper and wood production and processing,Carbon dioxide (CO2),637000000
2025/12/15,France,2018,2,Production and processing of metals,Polycyclic aromatic hydrocarbons (PAHs),230.8
2025/12/15,France,2008,4,Chemical industry,Vinyl chloride,193100
2025/12/15,Norway,2012,3,Mineral industry,Non-methane volatile organic compounds (NMVOC),25132000
2025/12/15,France,2009,4,Chemical industry,Chromium and compounds (as Cr),1140
2025/12/15,Bulgaria,2017,3,Mineral industry,Ammonia (NH3),36000
2025/12/15,Spain,2013,2,Production and processing of metals,Hydrogen cyanide (HCN),148968
2025/12/15,Austria,2011,2,Production and processing of metals,Zinc and compounds (as Zn),6800
2025/12/15,Poland,2009,2,Production and processing of metals,Carbon monoxide (CO),95299000
2025/12/15,Ireland,2011,4,Chemical industry,Hydro-fluorocarbons (HFCS),5127
2025/12/15,Finland,2008,1,Energy sector,Sulphur oxides (SOX),26208000
2025/12/15,Norway,2009,2,Production and processing of metals,Particulate matter (PM10),2612500
2025/12/15,United Kingdom,2013,5,Waste and wastewater management,PCDD + PCDF (dioxins + furans) (as Teq),0.0107
2025/12/15,Austria,2024,6,Paper and wood production and processing,Carbon dioxide (CO2),5136000000
2025/12/15,Germany,2023,5,Waste and wastewater management,Carbon dioxide (CO2) excluding biomass,3967077254.3
2025/12/15,United Kingdom,2016,8,Animal and vegetable products from the food and beverage sector,Particulate matter (PM10),283500
2025/12/15,Netherlands,2019,5,Waste and wastewater management,Dichloromethane (DCM),1330
2025/12/15,Spain,2013,9,Other activities,Anthracene,178
2025/12/15,Belgium,2018,6,Paper and wood production and processing,Carbon dioxide (CO2),2295000000
2025/12/15,Denmark,2010,5,Waste and wastewater management,Mercury and compounds (as Hg),13.1
2025/12/15,Czechia,2014,2,Production and processing of metals,Particulate matter (PM10),967000
2025/12/15,Spain,2013,5,Waste and wastewater management,Sulphur oxides (SOX),246000
2025/12/15,Spain,2013,4,Chemical industry,Hydrogen cyanide (HCN),469
2025/12/15,Czechia,2015,2,Production and processing of metals,Cadmium and compounds (as Cd),127.60000000000001
2025/12/15,Estonia,2014,1,Energy sector,Carbon dioxide (CO2),14298000000
2025/12/15,Switzerland,2009,1,Energy sector,Sulphur oxides (SOX),548000
2025/12/15,Italy,2021,2,Production and processing of metals,Naphthalene,1154.32
2025/12/15,Portugal,2013,3,Mineral industry,Mercury and compounds (as Hg),16.9
2025/12/15,Spain,2018,5,Waste and wastewater management,Nickel and compounds (as Ni),486
2025/12/15,Poland,2023,4,Chemical industry,Nitrous oxide (N2O),1587000
2025/12/15,Sweden,2024,2,Production and processing of metals,Particulate matter (PM10),862888
2025/12/15,Sweden,2023,4,Chemical industry,Carbon dioxide (CO2) excluding biomass,669766210
2025/12/15,Germany,2010,8,Animal and vegetable products from the food and beverage sector,Nitrous oxide (N2O),11900
2025/12/15,Italy,2013,4,Chemical industry,Mercury and compounds (as Hg),50.2
2025/12/15,Italy,2007,2,Production and processing of metals,Polychlorinated biphenyls (PCBs),37.5
2025/12/15,Sweden,2012,2,Production and processing of metals,Chlorine and inorganic compounds (as HCl),630600
2025/12/15,Poland,2021,5,Waste and wastewater management,Nitrogen oxides (NOX),750000
2025/12/15,Poland,2017,6,Paper and wood production and processing,Polycyclic aromatic hydrocarbons (PAHs),70.2
2025/12/15,Norway,2009,4,Chemical industry,Ammonia (NH3),296100
2025/12/15,Slovakia,2010,2,Production and processing of metals,Chromium and compounds (as Cr),786
2025/12/15,Romania,2024,2,Production and processing of metals,PCDD + PCDF (dioxins + furans) (as Teq),0.002307
2025/12/15,Austria,2023,6,Paper and wood production and processing,Sulphur oxides (SOX),189000
2025/12/15,Portugal,2010,2,Production and processing of metals,Cadmium and compounds (as Cd),140
2025/12/15,Czechia,2020,6,Paper and wood production and processing,Carbon dioxide (CO2) excluding biomass,386849980
2025/12/15,Sweden,2008,1,Energy sector,Hydro-fluorocarbons (HFCS),6002
2025/12/15,Denmark,2020,4,Chemical industry,Nitrogen oxides (NOX),43090
