country_code,nace_r2,year,dii_version,dii_high_share
NL,D35,2021,3,0.5575
NO,C,2021,3,0.3422
NO,C16-C18,2021,3,0.3089
NO,C20,2021,3,0.5097999999999999
NO,C22_C23,2021,3,0.46199999999999997
NO,C24_C25,2021,3,0.18669999999999998
NO,D35,2021,3,0.6535
PL,C,2021,3,0.1116
PL,C16-C18,2021,3,0.0885
PL,C20,2021,3,0.2579
PL,C22_C23,2021,3,0.1116
PL,C24_C25,2021,3,0.0803
PL,D35,2021,3,0.1284
PT,C,2021,3,0.1266
PT,C16-C18,2021,3,0.2009
PT,C19,2021,3,0.2858
PT,C20,2021,3,0.262
PT,C22_C23,2021,3,0.1434
PT,C24_C25,2021,3,0.1184
PT,D35,2021,3,0.3456
RO,C,2021,3,0.047299999999999995
RO,C16-C18,2021,3,0.0405
RO,C19,2021,3,0.4163
RO,C20,2021,3,0.041400000000000006
RO,C22_C23,2021,3,0.11470000000000001
RO,C24_C25,2021,3,0.0288
RO,D35,2021,3,0.3013
RS,C,2021,3,0.06
RS,C16-C18,2021,3,0.09050000000000001
RS,C20,2021,3,0.02
RS,C22_C23,2021,3,0.07790000000000001
RS,C24_C25,2021,3,0.0235
RS,D35,2021,3,0.0
SE,C,2021,3,0.4876
SE,C16-C18,2021,3,0.36119999999999997
SE,C20,2021,3,0.5588000000000001
SE,C22_C23,2021,3,0.5266
SE,C24_C25,2021,3,0.3852999999999999
SE,D35,2021,3,0.7434999999999999
SI,C,2021,3,0.1818
SI,C16-C18,2021,3,0.0711
SI,C20,2021,3,0.5967
SI,C22_C23,2021,3,0.2615
SI,C24_C25,2021,3,0.07170000000000001
SK,C,2021,3,0.11280000000000001
SK,C16-C18,2021,3,0.058899999999999994
SK,C19,2021,3,0.6666
SK,C20,2021,3,0.1501
SK,C22_C23,2021,3,0.153
SK,C24_C25,2021,3,0.054700000000000006
SK,D35,2021,3,0.146
AT,C,2023,3,0.2854
AT,C16-C18,2023,3,0.21710000000000002
AT,C22_C23,2023,3,0.21600000000000003
AT,C24_C25,2023,3,0.222
BE,C,2023,3,0.3734
BG,C,2023,3,0.0461
BG,C24_C25,2023,3,0.027999999999999997
CY,C,2023,3,0.20120000000000002
CY,C16-C18,2023,3,0.0805
CY,C20,2023,3,0.43060000000000004
CY,C22_C23,2023,3,0.1611
CY,C24_C25,2023,3,0.0216
CZ,C,2023,3,0.17420000000000002
CZ,C16-C18,2023,3,0.12389999999999998
CZ,C20,2023,3,0.5204000000000001
CZ,C22_C23,2023,3,0.18719999999999998
CZ,C24_C25,2023,3,0.1213
CZ,D35,2023,3,0.2889
DE,C,2023,3,0.2373
DE,C16-C18,2023,3,0.21350000000000002
DE,C20,2023,3,0.3791
DE,C22_C23,2023,3,0.2284
DE,C24_C25,2023,3,0.1526
DE,D35,2023,3,0.5198999999999999
DK,C,2023,3,0.3174
DK,C16-C18,2023,3,0.21050000000000002
DK,C19,2023,3,0.49829999999999997
DK,C20,2023,3,0.47909999999999997
DK,C22_C23,2023,3,0.24240000000000003
DK,C24_C25,2023,3,0.1532
DK,D35,2023,3,0.5062000000000001
EE,C,2023,3,0.16329999999999997
EE,C16-C18,2023,3,0.1631
EE,C19,2023,3,0.0
EE,C20,2023,3,0.3743
EE,C22_C23,2023,3,0.1791
EE,C24_C25,2023,3,0.0864
EE,D35,2023,3,0.2954
EL,C,2023,3,0.1432
EL,C16-C18,2023,3,0.0839
EL,C19,2023,3,0.2857
EL,C20,2023,3,0.409
EL,C22_C23,2023,3,0.1561
EL,C24_C25,2023,3,0.11870000000000001
EL,D35,2023,3,0.184
ES,C,2023,3,0.2284
ES,C24_C25,2023,3,0.1287
FI,C,2023,3,0.518
FI,C24_C25,2023,3,0.3861
HR,C,2023,3,0.20919999999999997
HR,C16-C18,2023,3,0.22
HR,C22_C23,2023,3,0.159
HR,C24_C25,2023,3,0.0873
HR,D35,2023,3,0.1311
HU,C,2023,3,0.1923
HU,C16-C18,2023,3,0.1537
HU,C19,2023,3,0.5
HU,C20,2023,3,0.278
HU,C22_C23,2023,3,0.21359999999999998
HU,C24_C25,2023,3,0.1416
HU,D35,2023,3,0.34700000000000003
IE,C,2023,3,0.3135
IE,C16-C18,2023,3,0.32289999999999996
IE,C19,2023,3,0.5
IE,C20,2023,3,0.6132
IE,C22_C23,2023,3,0.1978
IE,C24_C25,2023,3,0.18259999999999998
IE,D35,2023,3,0.5192
IT,C,2023,3,0.2027
IT,C16-C18,2023,3,0.1604
IT,C24_C25,2023,3,0.1425
LT,C,2023,3,0.21789999999999998
LT,C16-C18,2023,3,0.1711
LT,C24_C25,2023,3,0.2272
LU,C,2023,3,0.2151
LU,C24_C25,2023,3,0.0629
LV,C,2023,3,0.18280000000000002
LV,C16-C18,2023,3,0.1609
LV,C20,2023,3,0.405
LV,C22_C23,2023,3,0.1592
LV,C24_C25,2023,3,0.1276
LV,D35,2023,3,0.13570000000000002
MT,C,2023,3,0.33909999999999996
MT,C16-C18,2023,3,0.39299999999999996
MT,C22_C23,2023,3,0.2305
MT,C24_C25,2023,3,0.16699999999999998
NL,C,2023,3,0.4576
NL,C16-C18,2023,3,0.40740000000000004
NL,C19,2023,3,0.75
NL,C20,2023,3,0.6648000000000001
NL,C22_C23,2023,3,0.5019
NL,C24_C25,2023,3,0.37799999999999995
NL,D35,2023,3,0.7737
NO,C,2023,3,0.37309999999999993
NO,C16-C18,2023,3,0.38050000000000006
NO,C20,2023,3,0.5650999999999999
NO,C22_C23,2023,3,0.37199999999999994
NO,C24_C25,2023,3,0.27690000000000003
NO,D35,2023,3,0.8064999999999999
PL,C,2023,3,0.1655
PL,C16-C18,2023,3,0.1035
PL,C19,2023,3,0.17350000000000002
PL,C20,2023,3,0.2827
PL,C22_C23,2023,3,0.18330000000000002
PL,C24_C25,2023,3,0.12899999999999998
PL,D35,2023,3,0.27799999999999997
